small_arms_factory_desc;소화기 생산에는 강철과 탄약이 필요합니다. 소화기는 신병들의 기본장비입니다.;Steel and ammunitions are required to produce small arms. These are the basic equipment for all newly raised divisions.;De l'acier et des munitions sont n?essaires pour produire des armes l??es. Il s'agit de l'?uipement de base de toutes les divisions nouvellement form?s.;Stahl und Munition sind zur Herstellung von Handfeuerwaffen erforderlich, die die Grundausr?tung f? alle neuen Divisionen darstellen.;;;;;;;;;;;
explosives_factory;폭약 공장;Explosives Factory;Usine d'explosifs;Sprengstofffabrik;;;;;;;;;;;
explosives_factory_desc;비료와 탄약을 이용해 폭약을 생산합니다. 주로 대포에 쓰입니다.;Using fertilizer and ammunition, explosives are produced. These explosives were needed mainly for artillery.;Les explosifs sont produits ?partir d'engrais et de munitions. Ils ?aient principalement utilis? par l'artillerie.;Mit D?ger und Munition werden Sprengstoffe hergestellt, die haupts?hlich von der Artillerie ben?igt werden. ;;;;;;;;;;;
ammunition_factory;탄약 공장;Ammunition Factory;Usine de munitions;Munitionsfabrik;;;;;;;;;;;
ammunition_factory_desc;매우 다양한 탄약을 생산합니다. 그리고 그 전제조건은 철, 석탄, 황입니다.;Here, a wide variety of ammunitions are produced. The prerequisites are iron, coal and sulphur.;C'est ici que sont produits diff?ents types de munitions ?partir de fer, de charbon et de soufre.;Hier werden viele Arten von Munition produziert. Die Voraussetzungen sind Eisen, Kohle und Schwefel.;;;;;;;;;;;
canned_food_factory;통조림 공장;Canned Food Factory;Usine de conserves alimentaires;Konservenfabrik;;;;;;;;;;;
canned_food_factory_desc;철과 고기를 이용해 통조림을 생산합니다. 주로 장기간 외진 곳에서 활동하는 군대가 휴대용 식량으로 애용합니다.;Iron and Cattle are necessary to produce canned food. This canned food is primarily used to provide foodstuff for the armed forces because of it's long hold-up time.;Du fer et du b?ail sont n?essaires pour produire des conserves. Compte tenu de sa longue dur? de conservation, ce type de nourriture est principalement destin?aux forces arm?s.;Eisen und Vieh sind zur Konservenproduktion erforderlich. Diese Konserven werden wegen ihrer langen Haltbarkeit haupts?hlich von den Streitkr?ten abgenommen.;;;;;;;;;;;
paper_mill;제지소;Paper Mill;Usine de papier;Papierm?le;;;;;;;;;;;
paper_mill_desc;목재를 이용해 종이를 생산합니다. 종이는 책, 신문 등의 정보수단을 생산하는데 쓰입니다.;A paper mill is using lumber to produce paper. Paper is used for books, newspapers and other means of information.;Une usine de papier utilise du bois pour produire du papier. Le papier est utilis?pour les livres, les journaux et les autres moyens d'information.;In einer Papierm?le wird Papier produziert. Papier wird zur Produktion von B?hern, Zeitungen und anderen Informationsmedien verwendet.;;;;;;;;;;;
dye_factory;염료 공장;Dye Factory;Usine de teinture;Farbstofffabrik;;;;;;;;;;;
dye_factory_desc;식물에서 염료를 추출하던 기존과 달리 석탄을 합성해 염료를 생산합니다.;Dye could not only be extracted from plantations, but it could also be synthetically produced using coal.;La teinture pouvait ?re issue de plantations ou ?re produite de mani?e synth?ique ?partir de charbon.;Farbstoffe konnten nicht nur auf Plantagen gewonnen, sondern auch synthetisch mit Kohle produziert werden.;;;;;;;;;;;
lumber_mill;제재소;Lumber Mill;Scierie;S?em?le;;;;;;;;;;;
lumber_mill_desc;수목을 목재로 가공합니다. 목재들은 건물, 종이, 배, 또는 가구를 생산하는데 쓰입니다.;In a lumber mill, timber is processed into lumber. Lumber can then be used for buildings, paper, ships or furniture.;La scierie transforme la mati?e premi?e en bois. Ce bois sert ?construire des b?iments, des navires, des meubles ou ?fabriquer du papier.;In S?em?len wird Holz zu Schnittholz verarbeitet, das dann f? Geb?de, Papier, Schiffe oder M?el verwendet werden kann.;;;;;;;;;;;
fabric_factory;직물 공장;Fabric Factory;Usine de tissus;Stofffabrik;;;;;;;;;;;
fabric_factory_desc;목화를 직물로 가공합니다. 직물은 단단하게 짜여진 천으로 옷이나 배의 돛을 만드는데 쓰입니다.;Cotton is processed into fabric here. Fabric is a tightly woven textile which is, among other things, used to produce sails for ships as well as clothing.;Le coton est ici transform?en tissu qui sert notamment ?fabriquer les voiles des navires ainsi que des v?ements.;Baumwolle wird hier zu Stoffen verarbeitet. Stoffe sind dicht gewebte Textilien und werden unter anderem f? Segel und Kleidung gebraucht.;;;;;;;;;;;
cement_factory;Cement Factory;Cimenterie;Betonfabrik;;;;;;;;;;;
cement_factory_desc;시멘트는 성곽이나 다리처럼 튼튼한 물체를 만들 때 사용되는 건축재료입니다. 시멘트 생산에는 석탄이 필요합니다.;Cement is a building materiel used to build sturdy objects like fortresses or bridges. Coal is required to produce cement.;Le ciment est utilis?pour construire des ?ifices robustes comme les forteresses ou les ponts. Du charbon est n?essaire pour produire du ciment.;Beton ist ein Baumaterial f? solide Objekte wie Festungen oder Br?ken. Zur Betonproduktion ist Kohle notwendig.;;;;;;;;;;;
glass_factory;유리 공장;Glass Factory;Verrerie;Glash?te;;;;;;;;;;;
glass_factory_desc;석탄을 이용해 유리를 생산합니다. 유리는 주로 거울과 창문에 쓰입니다.;This factory requires coal to produce glass. Glass is used mainly for mirrors and windows.;Du charbon est n?essaire pour produire du verre. Le verre est principalement utilis?pour produire des miroirs et des fen?res.;Diese Fabrik braucht Kohle zur Glasproduktion. Glas wird haupts?hlich f? Spiegeln und Fenstern verwendet.;;;;;;;;;;;
fertilizer_factory;비료 공장;Fertilizer Factory;Usine d뭙ngrais;D?gerfabrik;;;;;;;;;;;
fertilizer_factory_desc;황을 비료로 가공합니다. 이런 비료는 농장의 생산성을 높이는 데 쓰입니다.;In this factory, sulphur is processed into fertilizer. These fertilizers are used to increase the productivity of farms.;Dans cette usine, le soufre est transform?en engrais. Ce dernier permet d'am?iorer la productivit?des fermes.;In dieser Fabrik wird Schwefel zu D?ger verarbeitet. Diese D?ger werden auf Farmen zur Produktivit?serh?ung eingesetzt.;;;;;;;;;;;
luxury_clothes_factory;고급의류 공장;Luxury Clothes Factory;Usine de v?ements de luxe;Luxuskleiderfabrik;;;;;;;;;;;
luxury_clothes_factory_desc;비단을 이용해 평범한 의류를 사치품으로 재탄생시킵니다. 상류층의 몸을 꾸미는 사치스러운 옷을 생산합니다.;In this factory, regular clothes are reworked using silk to produce luxury clothes for the rich strata뭩 of the populace.;Dans cette usine, les v?ements ordinaires sont retrait? avec de la soie afin de produire des v?ements de soie pour les classes sup?ieures de la population.;In dieser Fabrik werden normale Kleidungsst?ke unter Verwendung von Seide zu Kleidung f? die reichen Bev?kerungsschichten umgearbeitet.;;;;;;;;;;;
luxury_furniture_factory;고급가구 공장;Luxury Furniture Factory;Usine de meubles de luxe;Luxusm?elfabrik;;;;;;;;;;;
luxury_furniture_factory_desc;열대나무를 이용해 평범한 가구를 사치품으로 바꿉니다. 상류층의 집을 꾸미는 사치스러운 가구를 생산합니다.;Here, furniture is transformed into a luxury good using tropical wood. The resulting luxury furniture is used by the rich strata뭩 of the population for their homes.;Les meubles sont ici transform? en produits de luxe gr?e ?du bois exotique. Le mobilier de luxe qui en r?ulte est achet?par les classes sup?ieures de la population.;Hier werden M?el mit Tropenh?zern in Luxusg?er verwandelt. Die fertigen Tropenm?el werden von den reichen Bev?kerungsschichten f? ihre H?ser gekauft.;;;;;;;;;;;
furniture_factory;가구 공장;Furniture Factory;Usine de meubles;M?elfabrik;;;;;;;;;;;
furniture_factory_desc;목재를 이용해 가구를 생산합니다. 모든 가정에 필요하기 때문에 일반 대중들이 주로 이용합니다.;Furniture is made using lumber. It is a necessity for every home and thus available to the general populace.;Les meubles sont fabriqu? avec du bois. Ils sont indispensables ?tous les foyers et sont donc accessibles au grand public.;M?el aus Schnittholz sind eine Notwendigkeit f? jedes Heim und daher der allgemeinen Bev?kerung zug?glich.;;;;;;;;;;;
regular_clothes_factory;의류 공장;Regular Clothes Factory;Usine d'habillement;Kleiderfabrik;;;;;;;;;;;
regular_clothes_factory_desc;직물과 염료로 일반의류를 전제조건으로 해서 일반 대중을 위한 옷을 생산합니다.;Fabric and dye are the prerequisites for this factory were the clothes for the general populace are produced.;Le tissu et la teinture sont indispensables ?cette usine o?sont produits les v?ements destin? au grand public.;Stoff und Farbstoffe sind die Voraussetzungen f? diese Fabrik, in der Kleidung f? die allgemeine Bev?kerung produziert werden.;;;;;;;;;;;
liquor_distillery;증류소;Liquor Distillery;Distillerie;Schnapsbrennerei;;;;;;;;;;;
liquor_distillery_desc;곡식을 이용해 증류주를 생산합니다. 증류주는 광범위한 대중들이 찾는 술입니다.;Liquor is the alcohol available for the broad mass of the populace. Grain is the raw materiel to produce liquor.;Cette distillerie produit l'alcool accessible au grand public. Les c??les constituent la mati?e premi?e n?essaire ?la production de cet alcool.;Schnaps ist der Alkohol f? die breite Masse. Getreide dient als Rohmaterial zur Schnapsproduktion.;;;;;;;;;;;
winery;포도주 양조장;Winery;Exploitation vinicole;Winzerei;;;;;;;;;;;
winery_desc;포도주는 상류층의 지위를 상징합니다. 과일을 사용해 포도주를 양조합니다.;Wine is a major status symbol for the rich strata뭩 of the population. A distillery uses fruit to produce wine.;Le vin est un important symbole de statut social pour les classes sup?ieures de la population. Le vin est produit ?partir de fruits.;Wein ist ein wichtiges Statussymbol f? die reichen Bev?kerungsschichten. Eine Winzerei stellt aus Fr?hten Wein her.;;;;;;;;;;;
bank;은행;Bank;;;;;;;;;;;;;
bank_desc;은행은 예금을 받아 직접 또는 자본 시장을 통하여 대출 활동으로 전환시키는 금융 중개업자들입니다.;;;;;;;;;;;;;
stock_exchange;증권거래소;;;;;;;;;;;;;
stock_exchange_desc;증권거래소는 시장에 주식과 증권거래를 제공합니다. 거래소는 일반적으로 다양한 금융 증권을 제공합니다.;;;;;;;;;;;;;
Petrolium-based_powerplant;석유 기반 발전소;;;;;;;;;;;;;
Petrolium-based_powerplant_desc;전기를 생산하기 위하여 발전소에서 석탄을 태운다면, 석유도 또한 태울수 있습니다.;;;;;;;;;;;;;
fort;요새;Fort;Fort;;;;;;;;;;;
naval_base;해군 기지;Base navale;Marinest?zpunkt;;;;;;;;;;;
railroad;철로;Chemin de fer;Eisenbahn;;;;;;;;;;;
Coal-fired_powerplant;석탄 화력발전소;;;;;;;;;;;;;
Coal-fired_powerplant_desc;전세계에서 생산되는 대부분의 전기는 석탄을 태워 터빈을 돌릴 증기를 생산함으로써 만들어집니다.;;;;;;;;;;;;;
Cigar_factory;시가 공장;;;;;;;;;;;;;
Cigar_factory_desc;미국에서 담뱃잎이 발견된 이후, 시가는 여전히 사치와 명예의 상징으로 남아있습니다.;;;;;;;;;;;;;
Cigarette_factory;담배 공장;;;;;;;;;;;;;
Cigarette_factory_desc;시가는 너무 비싸기 때문에, 담배는 서민들에게 더 싼 대안으로 등장했습니다.;;;;;;;;;;;;;
shoe_factory;신발 공장;;;;;;;;;;;;;
shoe_factory_desc;산업혁명에 발맞춰 신발 제작과 같은 구식 산업도 표준화와 조립라인을 이용하여 격동의 시대에 발판을 마련해야 합니다.;;;;;;;;;;;;;
boot_factory;부츠 공장;;;;;;;;;;;;;
boot_factory_desc;부츠 공장은 가죽과 철제 부품을 부츠로 바꾸는 공장입니다. 부츠는 부자들이 고급품으로 매우 아낍니다.;;;;;;;;;;;;;
wool_mill;양모 공장;;;;;;;;;;;;;
wool_mill_desc;양모는 대항해시대 동안 목화가 발견되기 전까지 전통 직물의 소재였습니다. 그럼에도 불구하고, 양모는 여전히 섬유 산업에서 널리 사용되고 있습니다.;;;;;;;;;;;;;
fish_cannery;어류 통조림 공장;;;;;;;;;;;;;
fish_cannery_desc;어류는 산업혁명과 보존기술이 등장하기 전까지는 매우 부패하기 쉬운 식품이었습니다. 처음으로 어류 통조림이 생산되기 시작했을때, 어류는 더 접근성이 높아지고 오랫동안 보존할수 있는 상품이 되었습니다.;;;;;;;;;;;;;
bakery;빵집;;;;;;;;;;;;;
bakery_desc;빵집은 도시의 기초입니다. 곡식과 빵이 없다면 도시들은 인구를 부양할수 없을 것입니다.;;;;;;;;;;;;
stables;마구간;;;;;;;;;;;;;
stables_desc;기병대는 여전히 현대 국가의 군대속에 다수를 차지하고 있습니다. 따라서 전쟁에서 사용될 수 있는 말을 기르는 것은 매우 중요합니다.;;;;;;;;;;;;;
pharmaceutical_plant;제약 시설;;;;;;;;;;;;;
pharmaceutical_plant_desc;현대 의약품이 만들어지는 시설은 동방의 나라로부터 아편을 가져와야 합니다.;;;;;;;;;;;;;
rum_distillery;럼주 증류소;;;;;;;;;;;;;
rum_distillery_desc;신대륙에서 처음 만들어진 증류주는 설탕을 럼주로 만든 것이었지만 설탕이 더욱 널리 퍼지면서 다른 나라로도 빠르게 퍼졌습니다.;;;;;;;;;;;;;
gunpowder_factory;화약 공장;;;;;;;;;;;;;
gunpowder_factory_desc;우리의 화기에 사용할 화약을 만들던 공장입니다.;;;;;;;;;;;;;
bronze_artillery_factory;청동 대포 공장;;;;;;;;;;;;;
bronze_artillery_factory_desc;가장 현대적인 청동 대포를 설계하는 공장입니다.;;;;;;;;;;;;;
iron_artillery_factory;철제 대포 공장;;;;;;;;;;;;;
iron_artillery_factory_desc;가장 현대적인 철제 대포를 설계하는 공장입니다.;;;;;;;;;;;;;
fruit_cannery;과일 통조림 공장;;;;;;;;;;;;;
fruit_cannery_desc;과일을 보존하고 다른 장소로 오랫동안 이송하기 위한 통조림을 제작하는 공장입니다.;;;;;;;;;;;;;
bronze_factory;청동 공장;;;;;;;;;;;;;
bronze_factory_desc;청동 합금을 만드는 공장으로서, 대포 제작에 가장 흔하게 사용되지만 다른 많은 산업에서도 적용이 가능합니다.;;;;;;;;;;;;;
early_small_arms_factory;초기 소화기 공장;;;;;;;;;;;;;
early_small_arms_factory_desc;소화기의 최신 설계를 담당하는 개선된 공장입니다.;;;;;;;;;;;;;
late_small_arms_factory;후기 소화기 공장;;;;;;;;;;;;;
late_small_arms_factory_desc;소화기의 최신 설계를 담당하는 개선된 공장입니다.;;;;;;;;;;;;;
advanced_machine_parts_factory;고급 기계 부품 공장;;;;;;;;;;;;;
advanced_machine_parts_factory_desc;기계는 갈수록 정교해져 수요가 많은 부품은 전문 공장만 생산할 수 있게 됐습니다.;;;;;;;;;;;;;
synthetic_rubber_factory;합성 고무 공장;;;;;;;;;;;;;
synthetic_rubber_factory_desc;인공고무를 생산해 국가의 천연 고무에 대한 의존도를 낮추는 시설입니다.;;;;;;;;;;;;;
tropical_lumber_mill;열대 목재소;;;;;;;;;;;;;
tropical_lumber_mill_desc;열대 우림에서 재목을 수확하는 것은 더욱 복잡한 과정이지만, 티크나 마호가니 같은 훨씬 더 다양한 종류의 나무를 생산하게 됩니다.;;;;;;;;;;;;;
rubber_boot_factory;고무 장화 공장;;;;;;;;;;;;;
rubber_boot_factory_desc;장화를 만드는 것뿐만 아니라, 이 식물들은 재킷, 신발 그리고 산업 보호 장비와 같은 다양한 의류를 생산하는 데 사용됩니다.;;;;;;;;;;;;;
advanced_luxury_clothes_factory;고급 명품 의류 공장;;;;;;;;;;;;;
advanced_luxury_clothes_factory_desc;보다 진보된 고급 명품 의류 공장으로써, 보다 다양하고 이국적인 소재로 의류를 생산합니다.;;;;;;;;;;;;;
advanced_luxury_furniture_factory;고급 명품 가구 공장;;;;;;;;;;;;;
advanced_luxury_furniture_factory_desc;보다 진보된 고급 명품 가구 공장으로써, 보다 다양하고 이국적인 소재로 의류를 생산합니다.;;;;;;;;;;;;;
synthetic_fabric_factory;합성 원단 공장;;;;;;;;;;;;;
synthetic_fabric_factory_desc;내구성이 뛰어난 새 합성직물의 개발로 의류 제조업체들의 수요를 충족시킬 수 있는 완전히 새로운 산업이 문을 열었습니다.;;;;;;;;;;;;;
sugar_beet_refinery;설탕 정제소;;;;;;;;;;;;;
sugar_beet_refinery_desc;사탕무를 설탕으로 정제하는 기술이 산업을 빠르게 발전시켰습니다.;;;;;;;;;;;;;
newspaper;인쇄기;;;;;;;;;;;;;
newspaper_desc;값싼 종이의 가용성과 인쇄 기술의 발전은 신문을 낳았고, 국내외에서 읽고 쓸 줄 아는 청중들에게 뉴스와 문화를 가져다 주었습니다. 많은 사람들에게 이것은 향후 몇 년 동안 선전의 바탕이 될 것입니다.;;;;;;;;;;;;;
synthetic_silk_factory;합성 실크 공장;;;;;;;;;;;;;
synthetic_silk_factory_desc;합성 비단을 만들면서 섬유공장의 천연자원에 대한 의존도가 낮아졌고, 전 세계적으로 고급 의류의 가격도 낮아졌습니다.;;;;;;;;;;;;;
iron_machine_parts_factory;철제 기계 부품 공장;;;;;;;;;;;;;
iron_machine_parts_factory_desc;기계 부품은 모든 산업 공장에서 매우 중요한 도구입니다. 기계부품을 생산하려면 철과 석탄이 필요합니다.;;;;;;;;;;;;;
steel_machine_parts_factory;강철 기계 부품 공장;;;;;;;;;;;;;
steel_machine_parts_factory_desc;기계 부품은 모든 산업 공장에서 매우 중요한 도구입니다. 기계부품을 생산하려면 철과 석탄이 필요합니다.;;;;;;;;;;;;;
#crime.txt;;;;;;;;;;;;;;
anarchic_bomb_throwers;무정부주의자의 폭탄 투척;Lanceurs de bombes anarchistes;Anarchistische Bombenleger;;;;;;;;;;;
desc_anarchic_bomb_throwers;범죄 퇴치를 위한 비용이 줄어들면 무정부주의자들의 봉기처럼 보안에 대한 위협에 대응할 수 있는 능력이 저하됩니다.;La baisse des d?enses consacr?s ?la lutte contre le crime se traduit par une moindre efficacit?en termes de r?onse aux atteintes ?la s?urit?comme les soul?ements d'anarchistes.;Weniger Geld f? die Verbrechensbek?pfung f?rt zu einer verringerten Reaktionsf?igkeit auf Sicherheitsrisiken wie anarchistische Rebellionen.;;;;;;;;;;;
citizen_guard;길거리 갱단;Garde citoyenne;B?gerwache;;;;;;;;;;;
desc_citizen_guard;범죄 퇴치 비용을 줄이면 길거리 갱단과 같은 보안 위협에 대응할 수 있는 능력이 저하됩니다.;La baisse des d?enses consacr?s ?la lutte contre le crime se traduit par une moindre efficacit?en termes de r?onse aux atteintes ?la s?urit?tels que les combats entre gangs.;Weniger Geld f? die Verbrechensbek?pfung f?rt zu einer verringerten Reaktionsf?igkeit auf Sicherheitsrisiken wie Stra?nbanden.;;;;;;;;;;;
immoral_business;비 도덕적 사업;Activit?immorale;Unmoralische Gesch?te;;;;;;;;;;;
desc_immoral_business;범죄율이 증가하고 정부의 통제력이 감소함에 따라, 사업가들은 점점 더 자신의 이익에 초점을 맞추게 될 것입니다. 이것은 모든 사람들이 개인적인 이익을 위해 노력하기 때문에 전체 시스템에 더 큰 붕괴의 위험을 초래합니다.;;Mit steigenden Kriminalit?sraten und weniger Regierungskontrolle werden sich Gesch?tsleute vermehrt auf ihre eigenen Profite konzentrieren. Dies f?rt zu einem h?eren Zusammenbruchsrisiko f? das gesamte System, da jeder seinen pers?lichen Interessen nachgeht.;;;;;;;;;;;
machine_politics;Machine Politics;Client?isme;Politikmaschinerie;;;;;;;;;;;
desc_machine_politics;정치기계는 뇌물로 정치인들에게 영향력을 행사하는 것입니다. 이러한 체제 안에서 정부속의 일자리 임명권을 뇌물의 수단으로 삼는 것은 일반적이었습니다.;Le syst?e du client?isme se traduit, par essence, par la corruption des principales minorit? par les politiciens usant de leur influence. Les nominations ?des postes gouvernementaux sont des moyens de corruption.;Beim Politikmaschinerie-System ging es um Bestechungsgelder, die Politiker mit Hilfe ihres Einflusses haupts?hlich Minorit?en zukommen lie?n. Innerhalb dieses Systems war es gang und g?e, Regierungsjobs zu Bestechungszwecken auszunutzen.;;;;;;;;;;;
mafia;마피아;Mafia;Mafia;;;;;;;;;;;
desc_mafia;지방의 범죄 퇴치 기관이 지나치게 늘어나면 마피아의 형태로 조직화된 범죄가 일어날 것입니다. 마피아는 지방의 생산성을 하락시킵니다.;Si les institutions de lutte contre le crime d'une province sont trop sollicit?s, le crime organis?se transforme en mafia. Et la productivit?de la province baisse.;Wenn die Institutionen zur Verbrechensbek?pfung in einer Provinz ?erlastet sind, entwickelt sich organisiertes Verbrechen in Form einer Mafia. Solche Organisationen verringern die Produktion in der Provinz.;;;;;;;;;;;
rotten_boroughs;부패 선거구;Bourgs pourris;Rotten Boroughs;;;;;;;;;;;
